benchmark	model	layer	task	score	rows
dwug_en12	xl-lexeme	tuned	wic	0.626	28929
dwug_en12	xl-lexeme	tuned	wsi-adjusted_rand_score	0.204	28929
dwug_en12	xl-lexeme	tuned	wsi-rand_score	0.693	28929
dwug_en12	xl-lexeme	tuned	wsi-normalized_mutual_info	0.283	28929
dwug_en12	xl-lexeme	tuned	wsi-adjusted_mutual_info	0.193	28929
dwug_en12	xl-lexeme	tuned	wsi-purity	0.772	28929
dwug_en12	xl-lexeme	tuned	wsi-homogeneity	0.222	28929
dwug_en12	xl-lexeme	tuned	wsi-fowlkes_mallows	0.718	28929
dwug_en12	xl-lexeme	tuned	lsc	0.748	28929
dwug_de12	xlm-r	12	wic	0.289	27515
dwug_de12	xlm-r	12	wsi-adjusted_rand_score	0.024	27515
dwug_de12	xlm-r	12	wsi-rand_score	0.569	27515
dwug_de12	xlm-r	12	wsi-normalized_mutual_info	0.107	27515
dwug_de12	xlm-r	12	wsi-adjusted_mutual_info	0.034	27515
dwug_de12	xlm-r	12	wsi-purity	0.725	27515
dwug_de12	xlm-r	12	wsi-homogeneity	0.152	27515
dwug_de12	xlm-r	12	wsi-fowlkes_mallows	0.617	27515
dwug_de12	xlm-r	12	lsc	0.069	27515

dwug_es12	xl-lexeme	tuned	wic	0.547	52717
dwug_es12	xl-lexeme	tuned	wsi-adjusted_rand_score	0.4	52717
dwug_es12	xl-lexeme	tuned	wsi-rand_score	0.774	52717
dwug_es12	xl-lexeme	tuned	wsi-normalized_mutual_info	0.43	52717
dwug_es12	xl-lexeme	tuned	wsi-adjusted_mutual_info	0.388	52717
dwug_es12	xl-lexeme	tuned	wsi-purity	0.82	52717
dwug_es12	xl-lexeme	tuned	wsi-homogeneity	0.401	52717
dwug_es12	xl-lexeme	tuned	wsi-fowlkes_mallows	0.795	52717
dwug_es12	xl-lexeme	tuned	lsc	0.655	52717
dwug_es12	bert	12	wic	0.319	52685
dwug_es12	bert	12	wsi-adjusted_rand_score	0.189	52685
dwug_es12	bert	12	wsi-rand_score	0.598	52685
dwug_es12	bert	12	wsi-normalized_mutual_info	0.266	52685
dwug_es12	bert	12	wsi-adjusted_mutual_info	0.21	52685
dwug_es12	bert	12	wsi-purity	0.695	52685
dwug_es12	bert	12	wsi-homogeneity	0.263	52685
dwug_es12	bert	12	wsi-fowlkes_mallows	0.652	52685
dwug_es12	bert	12	lsc	0.284	52685
dwug_es12	mbert	12	wic	0.289	52685
dwug_es12	mbert	12	wsi-adjusted_rand_score	0.228	52685
dwug_es12	mbert	12	wsi-rand_score	0.599	52685
dwug_es12	mbert	12	wsi-normalized_mutual_info	0.313	52685
dwug_es12	mbert	12	wsi-adjusted_mutual_info	0.248	52685
dwug_es12	mbert	12	wsi-purity	0.7	52685
dwug_es12	mbert	12	wsi-homogeneity	0.366	52685
dwug_es12	mbert	12	wsi-fowlkes_mallows	0.643	52685
dwug_es12	mbert	12	lsc	0.394	52685
dwug_es12	xlm-r	12	wic	0.288	52258
dwug_es12	xlm-r	12	wsi-adjusted_rand_score	0.164	52258
dwug_es12	xlm-r	12	wsi-rand_score	0.629	52258
dwug_es12	xlm-r	12	wsi-normalized_mutual_info	0.239	52258
dwug_es12	xlm-r	12	wsi-adjusted_mutual_info	0.177	52258
dwug_es12	xlm-r	12	wsi-purity	0.755	52258
dwug_es12	xlm-r	12	wsi-homogeneity	0.286	52258
dwug_es12	xlm-r	12	wsi-fowlkes_mallows	0.677	52258
dwug_es12	xlm-r	12	lsc	0.464	52258
dwug_no12	xlm-r	12	wic	0.317	7059
dwug_no12	xlm-r	12	wsi-adjusted_rand_score	0.179	7059
dwug_no12	xlm-r	12	wsi-rand_score	0.642	7059
dwug_no12	xlm-r	12	wsi-normalized_mutual_info	0.289	7059
dwug_no12	xlm-r	12	wsi-adjusted_mutual_info	0.185	7059
dwug_no12	xlm-r	12	wsi-purity	0.775	7059
dwug_no12	xlm-r	12	wsi-homogeneity	0.307	7059
dwug_no12	xlm-r	12	wsi-fowlkes_mallows	0.678	7059
dwug_no12	xlm-r	12	lsc	0.395	7059
dwug_no12	xl-lexeme	tuned	wic	0.484	9679
dwug_no12	xl-lexeme	tuned	wsi-adjusted_rand_score	0.337	9679
dwug_no12	xl-lexeme	tuned	wsi-rand_score	0.743	9679
dwug_no12	xl-lexeme	tuned	wsi-normalized_mutual_info	0.416	9679
dwug_no12	xl-lexeme	tuned	wsi-adjusted_mutual_info	0.346	9679
dwug_no12	xl-lexeme	tuned	wsi-purity	0.806	9679
dwug_no12	xl-lexeme	tuned	wsi-homogeneity	0.389	9679
dwug_no12	xl-lexeme	tuned	wsi-fowlkes_mallows	0.757	9679
dwug_no12	xl-lexeme	tuned	lsc	0.62	9679
dwug_no12	bert	12	wic	0.429	7588
dwug_no12	bert	12	wsi-adjusted_rand_score	0.251	7588
dwug_no12	bert	12	wsi-rand_score	0.713	7588
dwug_no12	bert	12	wsi-normalized_mutual_info	0.354	7588
dwug_no12	bert	12	wsi-adjusted_mutual_info	0.26	7588
dwug_no12	bert	12	wsi-purity	0.771	7588
dwug_no12	bert	12	wsi-homogeneity	0.304	7588
dwug_no12	bert	12	wsi-fowlkes_mallows	0.715	7588
dwug_no12	bert	12	lsc	0.571	7588
dwug_no12	mbert	12	wic	0.283	7588
dwug_no12	mbert	12	wsi-adjusted_rand_score	0.241	7588
dwug_no12	mbert	12	wsi-rand_score	0.635	7588
dwug_no12	mbert	12	wsi-normalized_mutual_info	0.374	7588
dwug_no12	mbert	12	wsi-adjusted_mutual_info	0.266	7588
dwug_no12	mbert	12	wsi-purity	0.759	7588
dwug_no12	mbert	12	wsi-homogeneity	0.395	7588
dwug_no12	mbert	12	wsi-fowlkes_mallows	0.658	7588
dwug_no12	mbert	12	lsc	0.29	7588
dwug_no12	xlm-r	12	wic	0.317	7059
dwug_no12	xlm-r	12	wsi-adjusted_rand_score	0.179	7059
dwug_no12	xlm-r	12	wsi-rand_score	0.642	7059
dwug_no12	xlm-r	12	wsi-normalized_mutual_info	0.289	7059
dwug_no12	xlm-r	12	wsi-adjusted_mutual_info	0.185	7059
dwug_no12	xlm-r	12	wsi-purity	0.775	7059
dwug_no12	xlm-r	12	wsi-homogeneity	0.307	7059
dwug_no12	xlm-r	12	wsi-fowlkes_mallows	0.678	7059
dwug_no12	xlm-r	12	lsc	0.395	7059
dwug_no23	xl-lexeme	tuned	wic	0.521	10504
dwug_no23	xl-lexeme	tuned	wsi-adjusted_rand_score	0.304	10504
dwug_no23	xl-lexeme	tuned	wsi-rand_score	0.727	10504
dwug_no23	xl-lexeme	tuned	wsi-normalized_mutual_info	0.356	10504
dwug_no23	xl-lexeme	tuned	wsi-adjusted_mutual_info	0.313	10504
dwug_no23	xl-lexeme	tuned	wsi-purity	0.808	10504
dwug_no23	xl-lexeme	tuned	wsi-homogeneity	0.322	10504
dwug_no23	xl-lexeme	tuned	wsi-fowlkes_mallows	0.79	10504
dwug_no23	xl-lexeme	tuned	lsc	0.567	10504
dwug_no23	bert	12	wic	0.406	9311
dwug_no23	bert	12	wsi-adjusted_rand_score	0.247	9311
dwug_no23	bert	12	wsi-rand_score	0.67	9311
dwug_no23	bert	12	wsi-normalized_mutual_info	0.311	9311
dwug_no23	bert	12	wsi-adjusted_mutual_info	0.257	9311
dwug_no23	bert	12	wsi-purity	0.758	9311
dwug_no23	bert	12	wsi-homogeneity	0.301	9311
dwug_no23	bert	12	wsi-fowlkes_mallows	0.746	9311
dwug_no23	bert	12	lsc	0.521	9311
dwug_no23	mbert	12	wic	0.333	9311
dwug_no23	mbert	12	wsi-adjusted_rand_score	0.159	9311
dwug_no23	mbert	12	wsi-rand_score	0.646	9311
dwug_no23	mbert	12	wsi-normalized_mutual_info	0.251	9311
dwug_no23	mbert	12	wsi-adjusted_mutual_info	0.175	9311
dwug_no23	mbert	12	wsi-purity	0.753	9311
dwug_no23	mbert	12	wsi-homogeneity	0.274	9311
dwug_no23	mbert	12	wsi-fowlkes_mallows	0.707	9311
dwug_no23	mbert	12	lsc	0.454	9311
dwug_no23	xlm-r	12	wic	0.261	8623
dwug_no23	xlm-r	12	wsi-adjusted_rand_score	0.183	8623
dwug_no23	xlm-r	12	wsi-rand_score	0.594	8623
dwug_no23	xlm-r	12	wsi-normalized_mutual_info	0.262	8623
dwug_no23	xlm-r	12	wsi-adjusted_mutual_info	0.19	8623
dwug_no23	xlm-r	12	wsi-purity	0.715	8623
dwug_no23	xlm-r	12	wsi-homogeneity	0.294	8623
dwug_no23	xlm-r	12	wsi-fowlkes_mallows	0.674	8623
dwug_no23	xlm-r	12	lsc	0.345	8623
